age,workclass,fnlwgt,education,educational-num,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
42,Private,189765,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,7688,0,45,United-States,>50K
29,Private,234567,HS-grad,9,Never-married,Sales,Not-in-family,Black,Female,0,0,35,United-States,<=50K
55,Self-emp-inc,345678,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,15024,0,50,United-States,>50K
33,Federal-gov,456789,Some-college,10,Divorced,Tech-support,Not-in-family,Asian-Pac-Islander,Female,0,1887,40,Philippines,<=50K
61,Private,567890,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
25,Private,123456,Bachelors,13,Never-married,Sales,Own-child,White,Female,0,0,25,United-States,<=50K
47,State-gov,234789,Masters,14,Married-civ-spouse,Prof-specialty,Wife,Black,Female,0,0,40,United-States,>50K
38,Private,345890,Some-college,10,Divorced,Other-service,Not-in-family,White,Male,0,0,30,United-States,<=50K
52,Self-emp-not-inc,456901,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,45,United-States,<=50K
27,Private,567012,Assoc-voc,11,Never-married,Tech-support,Own-child,Asian-Pac-Islander,Male,0,0,40,China,<=50K
44,Private,678123,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,5178,0,50,United-States,>50K
31,Private,789234,Some-college,10,Never-married,Adm-clerical,Not-in-family,Black,Female,0,0,35,United-States,<=50K
58,Federal-gov,890345,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,>50K
23,Private,901456,HS-grad,9,Never-married,Handlers-cleaners,Own-child,Other,Male,0,0,20,Mexico,<=50K
49,Private,12567,Bachelors,13,Divorced,Sales,Not-in-family,White,Female,0,0,40,United-States,<=50K
36,Self-emp-inc,123678,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,55,United-States,<=50K
65,?,234789,HS-grad,9,Widowed,?,Not-in-family,White,Female,0,0,0,United-States,<=50K
41,Private,345800,Bachelors,13,Married-civ-spouse,Prof-specialty,Wife,Asian-Pac-Islander,Female,0,0,40,India,>50K
28,Private,456911,Assoc-acdm,12,Never-married,Tech-support,Own-child,White,Male,0,0,40,United-States,<=50K
53,Local-gov,568022,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,>50K
32,Private,679133,Some-college,10,Divorced,Sales,Not-in-family,Black,Male,0,0,45,United-States,<=50K
67,Private,790244,7th-8th,4,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,20,United-States,<=50K
24,Private,801355,HS-grad,9,Never-married,Other-service,Own-child,Other,Female,0,0,30,Mexico,<=50K
