age,workclass,fnlwgt,education,educational-num,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
66,Without-pay,196602,HS-grad,11,Never-married,Prof-specialty,Wife,Amer-Indian-Eskimo,Male,0,0,69,Canada,<=50K
20,State-gov,728382,Some-college,4,Widowed,Sales,Other-relative,Asian-Pac-Islander,Male,0,4356,52,?,<=50K
71,Without-pay,495302,Assoc-acdm,14,Married-spouse-absent,Craft-repair,Husband,Amer-Indian-Eskimo,Female,99999,0,61,Germany,<=50K
55,Self-emp-inc,615113,11th,2,Never-married,Handlers-cleaners,Own-child,White,Female,0,0,30,Germany,<=50K
90,Federal-gov,377252,9th,9,Married-civ-spouse,Machine-op-inspct,Unmarried,Other,Male,0,0,3,Philippines,<=50K
31,Local-gov,617244,11th,16,Divorced,Handlers-cleaners,Unmarried,Amer-Indian-Eskimo,Female,0,0,99,?,<=50K
26,Private,458886,Assoc-voc,5,Married-civ-spouse,?,Wife,Other,Male,0,0,69,Germany,<=50K
32,?,167381,11th,9,Married-spouse-absent,Craft-repair,Husband,White,Male,7688,0,94,Canada,>50K
74,Without-pay,456749,11th,15,Divorced,Prof-specialty,Wife,White,Male,0,0,50,Germany,<=50K
22,Private,900411,Some-college,6,Separated,Tech-support,Husband,Amer-Indian-Eskimo,Female,0,0,69,Mexico,<=50K
70,Private,338052,Assoc-acdm,7,Widowed,Handlers-cleaners,Not-in-family,White,Male,0,0,23,Germany,<=50K
55,Federal-gov,901987,Masters,10,Divorced,Machine-op-inspct,Own-child,Asian-Pac-Islander,Male,0,0,3,Germany,<=50K
25,?,736377,Masters,13,Married-civ-spouse,Machine-op-inspct,Own-child,Amer-Indian-Eskimo,Male,0,0,44,Mexico,<=50K
82,Local-gov,882839,11th,5,Widowed,Tech-support,Husband,White,Male,0,0,27,Canada,>50K
76,State-gov,940333,12th,12,Separated,?,Not-in-family,Asian-Pac-Islander,Female,0,0,87,Canada,<=50K
47,State-gov,917026,Masters,4,Never-married,Tech-support,Not-in-family,Other,Male,0,0,16,United-States,<=50K
